keyword	volume	competition	cpc_low	cpc_high
tidio	6600	MEDIUM	6.44	120.21
post scheduling for instagram	6600	LOW	6.55	59.63
scheduling tool for instagram	2900	LOW	9.38	87.74
manychat pricing	2400	MEDIUM	1.45	40.66
many chat pricing	2400	MEDIUM	1.45	40.66
tidio app	1900	LOW	19.67	76.75
wati	1900	MEDIUM	4.85	133.82
sendpulse	1600	MEDIUM	3.31	50.82
chatfuel	1300	MEDIUM	1.47	30.33
chatfuelbot	1300	MEDIUM	1.47	30.33
landbot	880	MEDIUM	7.59	78.79
respond io	590	MEDIUM	5.58	104.37
tidio live chat	590	LOW	18.07	217.58
tidio chatbot	590	MEDIUM	15.38	183.81
tidiolivechat	590	LOW	18.07	217.58
is manychat free	590	LOW	1.36	31.42
is many chat free	590	LOW	1.36	31.42
tidio ai	390	MEDIUM	20.32	184.26
botpenguin	320	MEDIUM	16.64	70.00
tidio chat	260	LOW	8.23	159.27
tidio login	260	LOW	0.45	117.98
scheduling app for instagram	260	LOW	6.41	44.96
schedule instagram posts app	260	LOW	5.38	20.92
tidio ai chatbot	210	MEDIUM	9.39	229.85
many chat cost	210	MEDIUM	1.49	37.53
manychat cost	210	MEDIUM	1.49	37.53
omnichannel messaging platform	210	LOW	41.54	150.50
manychat review	170	LOW	5.54	67.72
unified inbox	170	MEDIUM	14.16	50.90
outlook unified inbox	170	LOW	0.00	0.00
unified mailbox outlook	170	LOW	0.00	0.00
instachamp	140	MEDIUM	25.47	123.56
tidio pricing	140	MEDIUM	13.46	111.42
chatrace	140	LOW	2.17	49.68
customer messaging platform	140	MEDIUM	63.73	291.54
tidio com	110	LOW	3.97	51.73
manychat vs chatfuel	110	LOW	15.93	74.71
chatfuel vs manychat	110	LOW	15.93	74.71
manybot	110	LOW	12.69	66.10
wati whatsapp	110	MEDIUM	7.51	136.61
thunderbird combined inbox	110	LOW	0.00	0.00
thunderbird unified inbox	110	LOW	0.00	0.00
tidio alternatives	90	LOW	51.19	170.90
chatfuel pricing	90	LOW	1.17	67.67
tidio live chat app	90	LOW	0.00	0.00
manychat pro price	90	LOW	1.98	16.83
sendpulse login	90	MEDIUM	3.31	50.21
gmail unified inbox	90	LOW	14.40	107.78
best customer messaging platform	90	LOW	0.00	0.00
unified inbox app	90	LOW	20.73	72.26
instagram bot software	90	MEDIUM	5.30	16.07
unified gmail inbox	90	LOW	14.40	107.78
tidio review	70	MEDIUM	54.45	357.45
